"filename", "language", "Properties", "JavaScript", "YAML", "JSON", "Markdown", "XML", "Django HTML", "CSS", "Handlebars", "GraphQL", "comment", "blank", "total"
"o:\fastlab-enigma\.editorconfig", "Properties", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15
"o:\fastlab-enigma\.eslintrc.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 90
"o:\fastlab-enigma\.gitattributes", "Properties", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 16, 108
"o:\fastlab-enigma\.graphqlconfig.yml", "YAML", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"o:\fastlab-enigma\.travis.yml", "YAML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"o:\fastlab-enigma\LICENSE.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"o:\fastlab-enigma\README.md", "Markdown", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 9, 25
"o:\fastlab-enigma\amplify\.config\project-config.json", "JSON", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"o:\fastlab-enigma\amplify\backend\api\fastlabmaster\parameters.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"o:\fastlab-enigma\amplify\backend\api\fastlabmaster\schema.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 9, 89
"o:\fastlab-enigma\amplify\backend\api\fastlabmaster\stacks\CustomResources.json", "JSON", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"o:\fastlab-enigma\amplify\backend\api\fastlabmaster\transform.conf.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"o:\fastlab-enigma\amplify\backend\auth\fastlab\fastlab-cloudformation-template.yml", "YAML", 0, 0, 426, 0, 0, 0, 0, 0, 0, 0, 42, 134, 602
"o:\fastlab-enigma\amplify\backend\auth\fastlab\parameters.json", "JSON", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 1, 91
"o:\fastlab-enigma\amplify\backend\auth\userPoolGroups\parameters.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"o:\fastlab-enigma\amplify\backend\auth\userPoolGroups\template.json", "JSON", 0, 0, 0, 346, 0, 0, 0, 0, 0, 0, 0, 31, 377
"o:\fastlab-enigma\amplify\backend\auth\userPoolGroups\user-pool-group-precedence.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"o:\fastlab-enigma\amplify\backend\backend-config.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 66
"o:\fastlab-enigma\amplify\backend\function\fastlabPostConfirmation\fastlabPostConfirmation-cloudformation-template.json", "JSON", 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 217
"o:\fastlab-enigma\amplify\backend\function\fastlabPostConfirmation\function-parameters.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"o:\fastlab-enigma\amplify\backend\function\fastlabPostConfirmation\parameters.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"o:\fastlab-enigma\amplify\backend\function\fastlabPostConfirmation\src\add-to-group.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"o:\fastlab-enigma\amplify\backend\function\fastlabPostConfirmation\src\event.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"o:\fastlab-enigma\amplify\backend\function\fastlabPostConfirmation\src\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 15
"o:\fastlab-enigma\amplify\backend\function\fastlabPostConfirmation\src\package-lock.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
